Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Depresión mayor con síntomas psicóticos,Anhedonia - intereses sexuales,Alogia - bloqueos del pensamiento,Disminución del libido,Sentimiento de culpa,Comportamiento motor desorganizado,Hipoexpresividad emocional,Anhedonia,Deterioro de la atención,Dificultad de concentración,Anhedonia - relaciones con la familia
Trastorno esquizoafectivo,Abulia - trabajo o estudio,Gesticulación reducida,Sudoración,Cambios en el apetito,Sueño o fatiga,Expresión facial reducida,Deterioro de la atención,Alogia - pobreza de contenido,Anhedonia - intereses recreativos,Sentimiento de culpa
Esquizofrenia,Sudoración,Nerviosismo,Preocupación,Tristeza,Deterioro de la atención,Alogia - pobreza de contenido,Comportamiento motor desorganizado,Temblores,Ideas suicidas,Abulia - trabajo o estudio
Depresión mayor con síntomas psicóticos,Gesticulación reducida,Abulia - trabajo o estudio,Comportamiento motor desorganizado,Tristeza,Anergia física,Paranoia intensa,Dificultad de concentración,Hipoexpresividad emocional,Lenguaje desorganizado,Déficit en el procesamiento de la información
Trastorno esquizotípico,Gesticulación reducida,Sentimiento de culpa,Dificultad de concentración,Alogia - pobreza de contenido,Afectividad inapropiada,Hipoexpresividad emocional,Sudoración,Dificultades en teoría de la mente,Tristeza,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Abulia,Preocupación,Dificultad de concentración,Anhedonia,Catatonía,Afectividad inapropiada,Taquicardia,Déficit en el procesamiento de la información,Ideas suicidas,Lenguaje desorganizado
Trastorno esquizotípico,Alucinaciones,Paranoia intensa,Afectividad inapropiada,Dificultades en teoría de la mente,Control del pensamiento,Disnea,Anhedonia - relaciones con amigos,Anhedonia - sociabilidad,Abulia - trabajo o estudio,Preocupación
Trastorno esquizotípico,Deterioro de la atención,Anhedonia - relaciones con la familia,Hipoexpresividad emocional,Abulia,Gesticulación reducida,Ideas suicidas,Lenguaje desorganizado,Desorganización del pensamiento,Alogia,Nerviosismo
Depresión mayor con síntomas psicóticos,Control del pensamiento,Catatonía,Tristeza,Alogia,Expresión facial reducida,Paranoia intensa,Desorganización del pensamiento,Dificultades en teoría de la mente,Ideas delirantes,Alogia - pobreza de contenido
Trastorno esquizoafectivo,Lenguaje desorganizado,Control del pensamiento,Contacto visual bajo,Anhedonia - relaciones con amigos,Disnea,Sentimiento de culpa,Abulia,Gesticulación reducida,Abulia - higiene,Anhedonia - intereses recreativos
Depresión mayor con síntomas psicóticos,Hipoexpresividad emocional,Comportamiento social inadecuado,Alogia - pobreza de contenido,Anhedonia,Sudoración,Ideas suicidas,Sueño o fatiga,Anhedonia - intereses sexuales,Alogia - pobreza del habla,Deterioro de la memoria
Depresión mayor con síntomas psicóticos,Abulia - higiene,Sueño o fatiga,Desorganización del pensamiento,Disnea,Preocupación,Eco del pensamiento,Alogia - pobreza de contenido,Temblores,Abulia,Alogia
Trastorno esquizoafectivo,Alucinaciones,Disminución del libido,Ideas suicidas,Sentimiento de culpa,Sueño o fatiga,Anhedonia - relaciones con la familia,Expresión facial reducida,Hipervigilancia,Lenguaje desorganizado,Tristeza
Depresión mayor con síntomas psicóticos,Sueño o fatiga,Desorganización del pensamiento,Hipervigilancia,Anhedonia - intereses recreativos,Comportamiento motor desorganizado,Temblores,Alucinaciones,Catatonía,Anhedonia - relaciones con la familia,Gesticulación reducida
Trastorno delirante,Taquicardia,Afectividad inapropiada,Ideas delirantes,Comportamiento motor desorganizado,Cambios en el apetito,Abulia - trabajo o estudio,Déficit en el procesamiento de la información,Hipoexpresividad emocional,Anhedonia - intereses sexuales,Contacto visual bajo
Trastorno esquizoafectivo,Nerviosismo,Hipervigilancia,Alogia - bloqueos del pensamiento,Alogia - pobreza de contenido,Pensamientos intrusivos,Anhedonia,Sueño o fatiga,Temblores,Abulia - trabajo o estudio,Catatonía
Trastorno esquizoafectivo,Expresión facial reducida,Temblores,Alogia - pobreza de contenido,Anhedonia - sociabilidad,Ideas suicidas,Taquicardia,Sueño o fatiga,Obsesiones de presencia,Abulia - trabajo o estudio,Disnea
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Deterioro de la atención,Control del pensamiento,Pensamientos intrusivos,Alogia - pobreza del habla,Temblores,Gesticulación reducida,Alucinaciones,Anergia física,Anhedonia - relaciones con amigos
Trastorno bipolar con síntomas psicóticos,Expresión facial reducida,Sentimiento de culpa,Disminución del libido,Dificultad de concentración,Abulia,Afectividad inapropiada,Comportamiento social inadecuado,Cambios en el apetito,Hipoexpresividad emocional,Alogia - pobreza de contenido
Trastorno esquizotípico,Afectividad inapropiada,Taquicardia,Ideas suicidas,Nerviosismo,Hipoexpresividad emocional,Pensamientos intrusivos,Contacto visual bajo,Irritabilidad,Anhedonia - intereses recreativos,Gesticulación reducida
Trastorno esquizoafectivo,Eco del pensamiento,Anhedonia - sociabilidad,Sentimiento de culpa,Abulia - trabajo o estudio,Obsesiones de presencia,Cambios en el apetito,Anhedonia - relaciones con la familia,Control del pensamiento,Lenguaje desorganizado,Disnea
Depresión mayor con síntomas psicóticos,Abulia,Anergia física,Comportamiento motor desorganizado,Déficit en el procesamiento de la información,Lenguaje desorganizado,Dificultad de concentración,Catatonía,Abulia - trabajo o estudio,Paranoia intensa,Anhedonia - sociabilidad
Trastorno delirante,Hipervigilancia,Deterioro de la atención,Nerviosismo,Anhedonia - intereses recreativos,Lenguaje desorganizado,Afectividad inapropiada,Disminución del libido,Alogia - bloqueos del pensamiento,Tristeza,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Disnea,Sueño o fatiga,Abulia - trabajo o estudio,Catatonía,Sentimiento de culpa,Alogia - bloqueos del pensamiento,Tristeza,Sudoración,Disminución del libido,Lenguaje desorganizado
Trastorno bipolar con síntomas psicóticos,Ideas suicidas,Disnea,Comportamiento social inadecuado,Sentimiento de culpa,Tristeza,Temblores,Dificultades en teoría de la mente,Catatonía,Sudoración,Pensamientos intrusivos
Trastorno esquizoafectivo,Eco del pensamiento,Alogia - bloqueos del pensamiento,Control del pensamiento,Taquicardia,Ideas suicidas,Anhedonia - sociabilidad,Deterioro de la memoria,Preocupación,Alogia - pobreza del habla,Dificultad de concentración
Trastorno delirante,Catatonía,Dificultades en teoría de la mente,Déficit en el procesamiento de la información,Comportamiento social inadecuado,Alogia,Anergia física,Anhedonia - sociabilidad,Obsesiones de presencia,Afectividad inapropiada,Lenguaje desorganizado
Depresión mayor con síntomas psicóticos,Deterioro de la memoria,Sueño o fatiga,Obsesiones de presencia,Contacto visual bajo,Alucinaciones,Abulia - higiene,Anhedonia - sociabilidad,Irritabilidad,Comportamiento social inadecuado,Comportamiento motor desorganizado
Trastorno esquizoafectivo,Expresión facial reducida,Desorganización del pensamiento,Control del pensamiento,Obsesiones de presencia,Anhedonia - sociabilidad,Gesticulación reducida,Anergia física,Abulia,Hipervigilancia,Abulia - trabajo o estudio
Trastorno delirante,Hipervigilancia,Afectividad inapropiada,Abulia - higiene,Nerviosismo,Sentimiento de culpa,Control del pensamiento,Disnea,Expresión facial reducida,Anhedonia,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Gesticulación reducida,Pensamientos intrusivos,Ideas delirantes,Deterioro de la memoria,Paranoia intensa,Abulia,Dificultad de concentración,Anhedonia,Desorganización del pensamiento,Lenguaje desorganizado
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Desorganización del pensamiento,Sudoración,Abulia - trabajo o estudio,Anhedonia - intereses sexuales,Pensamientos intrusivos,Anhedonia - relaciones con la familia,Dificultades en teoría de la mente,Anergia física,Alogia - pobreza de contenido
Trastorno bipolar con síntomas psicóticos,Anhedonia,Déficit en el procesamiento de la información,Dificultad de concentración,Anhedonia - intereses sexuales,Preocupación,Sueño o fatiga,Expresión facial reducida,Paranoia intensa,Control del pensamiento,Abulia - higiene
Trastorno delirante,Ideas suicidas,Desorganización del pensamiento,Déficit en el procesamiento de la información,Hipoexpresividad emocional,Tristeza,Ideas delirantes,Irritabilidad,Deterioro de la memoria,Afectividad inapropiada,Lenguaje desorganizado
Trastorno esquizoafectivo,Expresión facial reducida,Obsesiones de presencia,Tristeza,Nerviosismo,Alogia - pobreza de contenido,Taquicardia,Abulia - trabajo o estudio,Lenguaje desorganizado,Disminución del libido,Hipoexpresividad emocional
Trastorno bipolar con síntomas psicóticos,Anhedonia - relaciones con la familia,Sudoración,Alogia - pobreza del habla,Control del pensamiento,Nerviosismo,Temblores,Paranoia intensa,Lenguaje desorganizado,Abulia,Hipervigilancia
Trastorno esquizoafectivo,Taquicardia,Nerviosismo,Sueño o fatiga,Ideas delirantes,Dificultad de concentración,Alucinaciones,Anhedonia - sociabilidad,Alogia - pobreza del habla,Comportamiento social inadecuado,Irritabilidad
Trastorno bipolar con síntomas psicóticos,Alucinaciones,Ideas suicidas,Abulia - trabajo o estudio,Preocupación,Anhedonia - intereses sexuales,Paranoia intensa,Afectividad inapropiada,Anhedonia - sociabilidad,Expresión facial reducida,Dificultades en teoría de la mente
Trastorno esquizotípico,Anhedonia - relaciones con la familia,Alucinaciones,Temblores,Cambios en el apetito,Catatonía,Anhedonia - intereses sexuales,Preocupación,Ideas delirantes,Afectividad inapropiada,Desorganización del pensamiento
Depresión mayor con síntomas psicóticos,Obsesiones de presencia,Tristeza,Disnea,Hipoexpresividad emocional,Preocupación,Abulia - higiene,Anhedonia - sociabilidad,Alucinaciones,Comportamiento motor desorganizado,Contacto visual bajo
Trastorno delirante,Alogia - bloqueos del pensamiento,Pensamientos intrusivos,Dificultades en teoría de la mente,Temblores,Deterioro de la atención,Sentimiento de culpa,Cambios en el apetito,Contacto visual bajo,Abulia - trabajo o estudio,Afectividad inapropiada
Trastorno delirante,Temblores,Anhedonia - relaciones con amigos,Obsesiones de presencia,Irritabilidad,Abulia - trabajo o estudio,Disminución del libido,Anhedonia - sociabilidad,Pensamientos intrusivos,Déficit en el procesamiento de la información,Ideas delirantes
Trastorno bipolar con síntomas psicóticos,Hipervigilancia,Deterioro de la memoria,Alogia - bloqueos del pensamiento,Disnea,Comportamiento motor desorganizado,Alogia - pobreza de contenido,Eco del pensamiento,Dificultad de concentración,Pensamientos intrusivos,Abulia - trabajo o estudio
Trastorno bipolar con síntomas psicóticos,Anhedonia - relaciones con amigos,Anhedonia - intereses sexuales,Comportamiento social inadecuado,Cambios en el apetito,Anhedonia,Abulia - higiene,Desorganización del pensamiento,Catatonía,Sueño o fatiga,Abulia
Depresión mayor con síntomas psicóticos,Dificultad de concentración,Eco del pensamiento,Hipervigilancia,Abulia - trabajo o estudio,Anhedonia - intereses recreativos,Ideas delirantes,Abulia - higiene,Pensamientos intrusivos,Comportamiento social inadecuado,Preocupación
Trastorno bipolar con síntomas psicóticos,Catatonía,Paranoia intensa,Abulia - trabajo o estudio,Alucinaciones,Alogia - pobreza de contenido,Alogia,Afectividad inapropiada,Alogia - pobreza del habla,Sueño o fatiga,Anhedonia - relaciones con amigos
Trastorno delirante,Irritabilidad,Anhedonia - sociabilidad,Hipervigilancia,Alogia - pobreza del habla,Desorganización del pensamiento,Disminución del libido,Deterioro de la atención,Ideas suicidas,Sueño o fatiga,Lenguaje desorganizado
Depresión mayor con síntomas psicóticos,Gesticulación reducida,Irritabilidad,Disnea,Eco del pensamiento,Alogia - bloqueos del pensamiento,Afectividad inapropiada,Hipoexpresividad emocional,Disminución del libido,Preocupación,Expresión facial reducida
Trastorno esquizotípico,Irritabilidad,Anhedonia - sociabilidad,Deterioro de la atención,Alucinaciones,Alogia,Cambios en el apetito,Disnea,Dificultad de concentración,Gesticulación reducida,Ideas suicidas
Trastorno delirante,Disnea,Sentimiento de culpa,Ideas suicidas,Preocupación,Alogia - pobreza del habla,Anergia física,Sudoración,Control del pensamiento,Alogia,Expresión facial reducida
Esquizofrenia,Pensamientos intrusivos,Anergia física,Abulia - higiene,Anhedonia - relaciones con amigos,Afectividad inapropiada,Irritabilidad,Sueño o fatiga,Sudoración,Dificultad de concentración,Desorganización del pensamiento
Depresión mayor con síntomas psicóticos,Alucinaciones,Preocupación,Anhedonia - intereses recreativos,Hipervigilancia,Paranoia intensa,Dificultad de concentración,Deterioro de la atención,Abulia,Anhedonia - relaciones con la familia,Abulia - trabajo o estudio
Trastorno bipolar con síntomas psicóticos,Control del pensamiento,Sentimiento de culpa,Sudoración,Comportamiento motor desorganizado,Hipoexpresividad emocional,Alogia - pobreza de contenido,Nerviosismo,Anhedonia - sociabilidad,Dificultades en teoría de la mente,Cambios en el apetito
Trastorno esquizoafectivo,Hipervigilancia,Abulia - higiene,Ideas suicidas,Gesticulación reducida,Control del pensamiento,Sentimiento de culpa,Sueño o fatiga,Contacto visual bajo,Disminución del libido,Nerviosismo
Trastorno esquizotípico,Sudoración,Hipervigilancia,Anhedonia - sociabilidad,Deterioro de la memoria,Nerviosismo,Anhedonia - intereses sexuales,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Dificultades en teoría de la mente,Abulia
Trastorno esquizoafectivo,Alogia - pobreza de contenido,Expresión facial reducida,Eco del pensamiento,Anhedonia - relaciones con la familia,Sudoración,Abulia - higiene,Afectividad inapropiada,Dificultades en teoría de la mente,Deterioro de la atención,Alogia - pobreza del habla
Depresión mayor con síntomas psicóticos,Anhedonia - relaciones con amigos,Comportamiento social inadecuado,Alogia,Disnea,Contacto visual bajo,Anhedonia - relaciones con la familia,Anhedonia - sociabilidad,Alogia - pobreza del habla,Abulia,Anhedonia - intereses sexuales
Depresión mayor con síntomas psicóticos,Alogia,Desorganización del pensamiento,Hipoexpresividad emocional,Preocupación,Catatonía,Alogia - pobreza del habla,Sueño o fatiga,Anhedonia,Anhedonia - relaciones con la familia,Disminución del libido
Trastorno bipolar con síntomas psicóticos,Desorganización del pensamiento,Gesticulación reducida,Anhedonia - relaciones con amigos,Control del pensamiento,Alogia - pobreza del habla,Hipervigilancia,Catatonía,Abulia,Comportamiento social inadecuado,Contacto visual bajo
Trastorno esquizoafectivo,Irritabilidad,Paranoia intensa,Contacto visual bajo,Anhedonia - intereses recreativos,Anhedonia,Abulia,Ideas delirantes,Deterioro de la atención,Hipoexpresividad emocional,Tristeza
Trastorno bipolar con síntomas psicóticos,Sentimiento de culpa,Dificultades en teoría de la mente,Nerviosismo,Taquicardia,Abulia - trabajo o estudio,Obsesiones de presencia,Alogia - pobreza del habla,Cambios en el apetito,Expresión facial reducida,Disminución del libido
Esquizofrenia,Anhedonia - intereses sexuales,Expresión facial reducida,Abulia - higiene,Hipervigilancia,Anhedonia,Disnea,Comportamiento motor desorganizado,Lenguaje desorganizado,Eco del pensamiento,Afectividad inapropiada
Esquizofrenia,Disnea,Déficit en el procesamiento de la información,Pensamientos intrusivos,Expresión facial reducida,Nerviosismo,Disminución del libido,Contacto visual bajo,Temblores,Sueño o fatiga,Dificultad de concentración
Trastorno bipolar con síntomas psicóticos,Cambios en el apetito,Alogia - bloqueos del pensamiento,Nerviosismo,Anhedonia,Alucinaciones,Anhedonia - intereses sexuales,Lenguaje desorganizado,Comportamiento motor desorganizado,Abulia,Deterioro de la memoria
Depresión mayor con síntomas psicóticos,Anhedonia - sociabilidad,Anhedonia - relaciones con la familia,Sentimiento de culpa,Obsesiones de presencia,Gesticulación reducida,Anhedonia - intereses sexuales,Alucinaciones,Anhedonia - intereses recreativos,Nerviosismo,Sudoración
Trastorno esquizoafectivo,Comportamiento social inadecuado,Control del pensamiento,Catatonía,Abulia - higiene,Tristeza,Alogia - bloqueos del pensamiento,Ideas delirantes,Lenguaje desorganizado,Nerviosismo,Afectividad inapropiada
Trastorno delirante,Tristeza,Pensamientos intrusivos,Disnea,Anhedonia - intereses recreativos,Contacto visual bajo,Preocupación,Anhedonia - sociabilidad,Disminución del libido,Lenguaje desorganizado,Catatonía
Esquizofrenia,Hipoexpresividad emocional,Alogia - bloqueos del pensamiento,Desorganización del pensamiento,Sudoración,Anhedonia - intereses recreativos,Abulia - trabajo o estudio,Alogia - pobreza de contenido,Lenguaje desorganizado,Deterioro de la atención,Anhedonia - relaciones con amigos
Trastorno delirante,Disminución del libido,Comportamiento social inadecuado,Alogia,Pensamientos intrusivos,Afectividad inapropiada,Sueño o fatiga,Tristeza,Catatonía,Lenguaje desorganizado,Déficit en el procesamiento de la información
Esquizofrenia,Comportamiento social inadecuado,Deterioro de la memoria,Control del pensamiento,Sudoración,Dificultades en teoría de la mente,Déficit en el procesamiento de la información,Alogia,Anergia física,Abulia - higiene,Lenguaje desorganizado
Trastorno bipolar con síntomas psicóticos,Comportamiento social inadecuado,Cambios en el apetito,Alogia - pobreza de contenido,Desorganización del pensamiento,Alucinaciones,Dificultad de concentración,Deterioro de la atención,Anergia física,Sudoración,Sueño o fatiga
Esquizofrenia,Anhedonia - relaciones con la familia,Control del pensamiento,Catatonía,Cambios en el apetito,Eco del pensamiento,Anergia física,Desorganización del pensamiento,Anhedonia - relaciones con amigos,Déficit en el procesamiento de la información,Anhedonia
Trastorno bipolar con síntomas psicóticos,Abulia - higiene,Sudoración,Contacto visual bajo,Sentimiento de culpa,Anhedonia,Taquicardia,Paranoia intensa,Temblores,Ideas suicidas,Alogia - pobreza del habla
Trastorno delirante,Alucinaciones,Lenguaje desorganizado,Taquicardia,Deterioro de la memoria,Anhedonia - relaciones con la familia,Nerviosismo,Irritabilidad,Ideas suicidas,Alogia - pobreza del habla,Obsesiones de presencia
Trastorno esquizoafectivo,Abulia,Dificultad de concentración,Dificultades en teoría de la mente,Eco del pensamiento,Anhedonia - intereses sexuales,Disnea,Preocupación,Gesticulación reducida,Tristeza,Hipoexpresividad emocional
Trastorno delirante,Abulia - trabajo o estudio,Pensamientos intrusivos,Alogia - bloqueos del pensamiento,Tristeza,Cambios en el apetito,Ideas delirantes,Anhedonia - relaciones con amigos,Anhedonia,Déficit en el procesamiento de la información,Sueño o fatiga
Trastorno bipolar con síntomas psicóticos,Ideas delirantes,Temblores,Cambios en el apetito,Paranoia intensa,Ideas suicidas,Anhedonia,Anhedonia - intereses recreativos,Pensamientos intrusivos,Alucinaciones,Afectividad inapropiada
Trastorno esquizoafectivo,Afectividad inapropiada,Abulia,Disnea,Abulia - higiene,Nerviosismo,Catatonía,Ideas delirantes,Paranoia intensa,Dificultad de concentración,Déficit en el procesamiento de la información
Trastorno esquizoafectivo,Sudoración,Control del pensamiento,Comportamiento motor desorganizado,Alucinaciones,Desorganización del pensamiento,Cambios en el apetito,Alogia - pobreza de contenido,Anhedonia,Afectividad inapropiada,Dificultad de concentración
Depresión mayor con síntomas psicóticos,Desorganización del pensamiento,Deterioro de la memoria,Comportamiento motor desorganizado,Afectividad inapropiada,Anhedonia - relaciones con la familia,Alogia,Alogia - bloqueos del pensamiento,Anergia física,Dificultad de concentración,Contacto visual bajo
Trastorno delirante,Taquicardia,Alogia - pobreza del habla,Nerviosismo,Anhedonia,Anhedonia - relaciones con amigos,Desorganización del pensamiento,Alogia,Eco del pensamiento,Sentimiento de culpa,Anergia física
Esquizofrenia,Pensamientos intrusivos,Anhedonia - relaciones con amigos,Deterioro de la memoria,Anhedonia - intereses recreativos,Sentimiento de culpa,Tristeza,Obsesiones de presencia,Abulia - higiene,Disminución del libido,Ideas suicidas
Trastorno delirante,Ideas delirantes,Disminución del libido,Preocupación,Pensamientos intrusivos,Anhedonia,Abulia - trabajo o estudio,Hipervigilancia,Afectividad inapropiada,Control del pensamiento,Paranoia intensa
Trastorno bipolar con síntomas psicóticos,Gesticulación reducida,Alucinaciones,Déficit en el procesamiento de la información,Abulia - higiene,Temblores,Lenguaje desorganizado,Sueño o fatiga,Obsesiones de presencia,Deterioro de la memoria,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Anhedonia - intereses sexuales,Catatonía,Disminución del libido,Contacto visual bajo,Abulia - higiene,Anhedonia,Comportamiento social inadecuado,Pensamientos intrusivos,Nerviosismo,Sueño o fatiga
Trastorno bipolar con síntomas psicóticos,Abulia - trabajo o estudio,Ideas suicidas,Anhedonia - relaciones con amigos,Alogia - pobreza del habla,Control del pensamiento,Irritabilidad,Temblores,Anhedonia - relaciones con la familia,Disminución del libido,Sentimiento de culpa
Trastorno bipolar con síntomas psicóticos,Disminución del libido,Control del pensamiento,Hipoexpresividad emocional,Sudoración,Gesticulación reducida,Nerviosismo,Catatonía,Desorganización del pensamiento,Alogia - pobreza de contenido,Afectividad inapropiada
Trastorno esquizotípico,Afectividad inapropiada,Disminución del libido,Temblores,Anhedonia - intereses recreativos,Desorganización del pensamiento,Alogia - pobreza del habla,Paranoia intensa,Anhedonia - intereses sexuales,Preocupación,Taquicardia
Trastorno esquizoafectivo,Sueño o fatiga,Anergia física,Tristeza,Comportamiento social inadecuado,Taquicardia,Catatonía,Dificultad de concentración,Alogia - bloqueos del pensamiento,Sentimiento de culpa,Ideas delirantes
Trastorno esquizotípico,Cambios en el apetito,Paranoia intensa,Irritabilidad,Gesticulación reducida,Dificultades en teoría de la mente,Alogia - bloqueos del pensamiento,Contacto visual bajo,Obsesiones de presencia,Alogia - pobreza de contenido,Sudoración
Trastorno esquizotípico,Nerviosismo,Deterioro de la memoria,Sudoración,Paranoia intensa,Gesticulación reducida,Alogia - pobreza de contenido,Anhedonia,Disminución del libido,Anhedonia - relaciones con amigos,Déficit en el procesamiento de la información
Trastorno delirante,Deterioro de la memoria,Ideas delirantes,Control del pensamiento,Dificultad de concentración,Anhedonia,Anhedonia - relaciones con la familia,Alucinaciones,Temblores,Anhedonia - intereses recreativos,Abulia - higiene
Trastorno esquizotípico,Deterioro de la memoria,Cambios en el apetito,Eco del pensamiento,Afectividad inapropiada,Abulia,Anhedonia - relaciones con la familia,Disnea,Gesticulación reducida,Anhedonia,Ideas suicidas
Trastorno esquizoafectivo,Cambios en el apetito,Abulia - higiene,Deterioro de la memoria,Hipoexpresividad emocional,Paranoia intensa,Alogia - pobreza del habla,Sentimiento de culpa,Ideas delirantes,Afectividad inapropiada,Disminución del libido
Depresión mayor con síntomas psicóticos,Hipervigilancia,Alogia,Pensamientos intrusivos,Alogia - pobreza del habla,Tristeza,Deterioro de la memoria,Alucinaciones,Ideas delirantes,Déficit en el procesamiento de la información,Anhedonia
Trastorno esquizotípico,Paranoia intensa,Anergia física,Alucinaciones,Preocupación,Contacto visual bajo,Pensamientos intrusivos,Lenguaje desorganizado,Disminución del libido,Obsesiones de presencia,Desorganización del pensamiento
